"Intercept","kamar","rumah","dis_SD","dis_SMP","dis_SMA","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","kamar_SE","rumah_SE","dis_SD_SE","dis_SMP_SE","dis_SMA_SE","Intercept_TV","kamar_TV","rumah_TV","dis_SD_TV","dis_SMP_TV","dis_SMA_TV","Local_R2","X","Y"
-606404608,175120384,10588800,1849163776,125896228864,-127775277056,3.6e+08,327207541.103729,32792458.8962708,0,0.0754937665081713,192323962368.96,5161836100.86212,664646143.562138,33317392182539.3,34506960605651.6,2169240164244.51,-0.00315303720103611,0.0339259869120509,0.0159314848999948,5.55014559923778e-05,0.003648429958893,-0.0589032414031946,0.998194742676946,111.548941597651,-6.6363153333093
-316312437.581772,130367241.488996,11560072.1022866,103899952926.249,-91325545758.3429,-24811464252.9982,6.5e+08,533513730.045105,116486269.954895,0,0.263111378395124,33699587.7154987,2328566.65204137,160068.324373609,6419299760.15772,6810238366.26879,2248674200.55602,-9.3862405751717,55.9860467703202,72.2196108913133,16.1855586759039,-13.4100366017553,-11.0338190596322,0.920741945633903,110.34416370045,-6.98787333168762
-363608183.159807,113731337.427266,12840560.2360927,131147545692.207,-143563391338.111,-2346374400.73584,4e+08,552215745.606215,-152215745.606215,0,-0.343050369276275,38816919.6667552,3175475.24095305,240526.529705409,6347927517.08,6421536053.22115,2387220783.05182,-9.36726010928734,35.8155327305061,53.385213896444,20.6598996821144,-22.3565499201858,-0.982889566559584,0.92465101359603,110.325561720284,-7.06415285872909
-365917099.838987,113505048.050131,12869702.4469026,131048574560.44,-143397820468.052,-2407316270.19019,4.55e+09,3749471984.16895,800528015.831048,0,1.80332458042443,39028317.3343063,3191190.25152038,242351.090446727,6376940269.33402,6439135317.55422,2386356905.86399,-9.37568219261512,35.5682485542985,53.1035466899687,20.5503845144415,-22.2697324091209,-1.00878299648921,0.924836470767256,110.32436629057,-7.06436273319609
78548879.4720583,132200641.361467,9864270.24879784,162255204098.708,-141064395499.506,-37649869347.7426,2.975e+09,3275810440.86699,-300810440.866986,0,-0.678911028239597,30350424.7841134,2489735.10164905,139327.712847953,5320671219.99293,5169912633.45878,2130117161.15036,2.58806524227542,53.098275906503,70.7990538792709,30.495250954244,-27.2856439752117,-17.6750227801601,0.888922547692068,110.411781692885,-7.00859415063467
149690196.631913,155810987.292753,8835363.91286919,192974769970.104,-127805214968.362,-65885063294.407,8.75e+08,910111105.938432,-35111105.9384316,0,-0.0791846106677716,35171921.1497771,2662793.42166842,145095.577742701,6426705371.69172,6222813671.73011,3008277356.98791,4.25595735855509,58.5141100412989,60.8934059212817,30.0270136577471,-20.5381715909275,-21.90125958345,0.85209399639521,110.464770020217,-7.0204400404463
-361484018.661907,113887764.190042,12823049.3480864,131052175518.451,-143629674444.807,-2283191335.46655,1.03e+09,814237675.228242,215762324.771758,0,0.486072933073064,38685620.2292872,3170411.70658579,239504.369541367,6330388238.42516,6406698981.27945,2386435946.59403,-9.34414432337945,35.9220740806207,53.5399390526425,20.702075541429,-22.4186706546534,-0.956736902461251,0.924547256471169,110.325970388956,-7.06501582453129
-381040462.53766,113737997.401723,12385878.2878326,137203312382.618,-135389623061.085,1998680339.50256,9.95e+08,1114224166.70958,-119224166.70958,0,-0.268642997064505,32772820.340516,2379838.23600911,147817.90221026,5154055226.60026,5068888082.26499,3050657906.22921,-11.6267217340032,47.7923228901712,83.7914630273582,26.6204583285229,-26.7099255031465,0.655163705973525,0.893762389803809,110.421238914512,-7.07874588093294
-401983072.894041,127969025.996195,12099647.1989399,106898785615.272,-92726379657.4471,-24076094482.8673,7.44e+08,900034724.316673,-156034724.316673,0,-0.352307818767707,35273128.6300646,2356870.67854988,173957.971307092,6379106191.93237,6801907849.86377,2263322327.8268,-11.3962976494071,54.2961593781339,69.5550029011321,16.7576432181779,-13.6324075103876,-10.6375014229567,0.923682931616967,110.333634406877,-6.99654415856143
-367930292.501963,113450263.275171,12879482.9609663,131218632453.473,-143406632673.6,-2453118738.1792,3.77e+09,4537152179.99629,-767152179.996291,0,-1.73006518780524,38921505.1338753,3183358.20957883,241958.215263294,6366325051.66138,6430148911.39484,2385403463.75115,-9.4531362863903,35.6385476613329,53.2301949200241,20.6113623461984,-22.3022257570848,-1.02838734639949,0.924854286656729,110.324579319986,-7.06359899270171
-165389365.710548,121026620.683228,11427846.390355,160902071656.901,-142790113125.705,-12500162819.2969,4.3e+08,165518763.505892,264481236.494108,0,0.596058988043447,32661233.5853732,2471150.27077292,144710.626980243,5857477802.65159,5595623622.4749,2930905402.29852,-5.06378196886643,48.9758239774605,78.9703329245833,27.4695145381624,-25.5181768395191,-4.26494925748672,0.882908412778724,110.449622008841,-7.06985420086917
-164960535.897825,121087794.706689,11423623.8232286,160928787895.005,-142797450882.492,-12533237440.2834,4.3e+08,396121366.221164,33878633.7788357,0,0.0763189392641081,32670700.477726,2471749.08360038,144708.632638169,5861593674.81134,5595787433.4048,2932740035.5255,-5.0491888293087,48.9887082431163,78.9422414887462,27.4547839415336,-25.5187411212306,-4.27355895458279,0.882944944800954,110.449811558813,-7.06999249095049
-362999446.763024,113545173.910353,12305191.0424957,96707552563.4673,-99065544327.4582,-2262449893.5863,1.5e+08,249745995.135238,-99745995.1352378,0,-0.225416276049998,57926274.168158,2529318.44845646,207155.585441861,9734565403.90585,8745077323.83728,8275260866.213,-6.26657681640716,44.8916086385424,59.4007205562374,9.93444992671833,-11.3281496159475,-0.273399223319188,0.975126347549537,110.431339267657,-7.24554898637246
-367219836.547039,113520808.580583,12870654.6519142,131257216204.873,-143464587936.279,-2438317900.29077,1.975e+09,2080573309.71227,-105573309.712274,0,-0.237819257209062,38857798.1005589,3178501.2762486,241411.271201484,6357416323.01663,6424611136.8001,2385492579.14012,-9.45035113921593,35.7151999367968,53.3142242607731,20.6463144044326,-22.3304702621634,-1.02214440808267,0.924799220653504,110.324936698446,-7.06351946044675
-408137924.287783,115044059.689474,12496251.3113066,136109566227.833,-132732085507.29,-1295271992.10071,1.5e+08,557622221.661104,-407622221.661104,0,-0.918309447998246,33367222.9064981,2330471.43338797,149007.004840724,5034464931.10777,4966537795.1197,2862879830.46965,-12.2317019139253,49.3651447691106,83.863515843863,27.0355575200886,-26.7252744231037,-0.452436731124764,0.896476410575992,110.413953528004,-7.07988858840177
-170133.533983111,140942509.781597,10564658.3610705,206707757648.936,-142933969512.77,-54830675993.1804,3703044000,2859551716.16451,843492283.835495,0,1.89861656334255,36246926.5087944,2560886.40100401,149365.339461506,6366783943.02837,5951506960.90308,2817306049.16209,-0.00469373683150302,55.036611435142,70.7303206966112,32.4665890186647,-24.0164332246839,-19.4620942973121,0.853532681124653,110.45872751869,-7.03645413906366
-2335750.69585025,140801143.01472,10581681.2996211,206790482308.746,-143092638334.868,-54601372473.6531,4643271000,3216041574.2083,1427229425.7917,0,3.21343414689155,36231842.3455987,2559878.66517465,149403.689578271,6365428746.96356,5949149926.2461,2817206934.16826,-0.0644667934236028,55.0030534377353,70.8261042916042,32.4864970654788,-24.0526193000416,-19.3813850915333,0.853578460292456,110.458787763061,-7.03678306795058
-643377.444108605,141020369.419444,10562281.1167011,206816972716.904,-142957878022.279,-54797899000.5073,1056781000,995926343.806513,60854656.1934869,0,0.137027618632409,36241565.3624798,2561224.89319521,149342.849118865,6368374526.74257,5952685856.25782,2820468803.71381,-0.0177524739252759,55.0597371570589,70.7250543231191,32.4756296678881,-24.0156933314385,-19.4286492119158,0.853545755141908,110.458952683803,-7.03668291595911
